category,course,lesson,txt_path,video_path,has_sd,has_ld,audio_path,youtube_vid,title,short_title
大学演讲,04 红尘中的净土,浅谈佛教无常观-开示-香港三德弘法中心,大学演讲/04 红尘中的净土/浅谈佛教无常观-开示-香港三德弘法中心.html,,0.0,0.0,大学演讲/04 红尘中的净土/浅谈佛教无常观-开示-香港三德弘法中心.m4a,UIpG_2XhE_g,香港三德弘法中心,开示：浅谈佛教无常观
大学演讲,04 红尘中的净土,浅谈佛教无常观-问答-香港三德弘法中心,大学演讲/04 红尘中的净土/浅谈佛教无常观-问答-香港三德弘法中心.html,,0.0,0.0,大学演讲/04 红尘中的净土/浅谈佛教无常观-问答-香港三德弘法中心.m4a,GQubvAFinoM,香港三德弘法中心,问答
社会演讲,05 北京雨枫书馆-无“明”的时代，佛法为什么是究竟的真理,无“明”的时代，佛法为什么是究竟的真理-演讲-北京雨枫书馆,,,0.0,0.0,社会演讲/05 北京雨枫书馆-无“明”的时代，佛法为什么是究竟的真理/无“明”的时代，佛法为什么是究竟的真理-演讲-北京雨枫书馆.m4a,DmX42q9yYdE,无“明”的时代，佛法为什么是究竟的真理,演讲
社会演讲,05 北京雨枫书馆-无“明”的时代，佛法为什么是究竟的真理,无“明”的时代，佛法为什么是究竟的真理-问答-北京雨枫书馆,,,0.0,0.0,社会演讲/05 北京雨枫书馆-无“明”的时代，佛法为什么是究竟的真理/无“明”的时代，佛法为什么是究竟的真理-问答-北京雨枫书馆.m4a,E5mmCH8kkgc,无“明”的时代，佛法为什么是究竟的真理,问答
大学演讲,05 必须面对的真相,心理健康与职业生涯规划-演讲-南阳师范学院,大学演讲/05 必须面对的真相/心理健康与职业生涯规划-演讲-南阳师范学院.html,,0.0,0.0,大学演讲/05 必须面对的真相/心理健康与职业生涯规划-演讲-南阳师范学院.m4a,Km0Q65ek2O8,南阳师范学院,演讲：心理健康与职业生涯规划
大学演讲,05 必须面对的真相,心理健康与职业生涯规划-问答-南阳师范学院,大学演讲/05 必须面对的真相/心理健康与职业生涯规划-问答-南阳师范学院.html,,0.0,0.0,大学演讲/05 必须面对的真相/心理健康与职业生涯规划-问答-南阳师范学院.m4a,EsZ-cUPt_NA,南阳师范学院,问答
大学演讲,05 必须面对的真相,藏密的特点及思想精髓-演讲-陕西师范大学,大学演讲/05 必须面对的真相/藏密的特点及思想精髓-演讲-陕西师范大学.html,,0.0,0.0,大学演讲/05 必须面对的真相/藏密的特点及思想精髓-演讲-陕西师范大学.m4a,KAcZGApV46E,陕西师范大学,演讲：藏密的特点及思想精髓
大学演讲,05 必须面对的真相,藏密的特点及思想精髓-问答-陕西师范大学,大学演讲/05 必须面对的真相/藏密的特点及思想精髓-问答-陕西师范大学.html,,0.0,0.0,大学演讲/05 必须面对的真相/藏密的特点及思想精髓-问答-陕西师范大学.m4a,C3LEOwUdfII,陕西师范大学,问答
大学演讲,05 必须面对的真相,来世生命及往生净土-演讲-西北大学,大学演讲/05 必须面对的真相/来世生命及往生净土-演讲-西北大学.html,,0.0,0.0,大学演讲/05 必须面对的真相/来世生命及往生净土-演讲-西北大学.m4a,wUUqIsOTWYg,西北大学,演讲：来世生命及往生净土
大学演讲,05 必须面对的真相,来世生命及往生净土-问答-西北大学,大学演讲/05 必须面对的真相/来世生命及往生净土-问答-西北大学.html,,0.0,0.0,大学演讲/05 必须面对的真相/来世生命及往生净土-问答-西北大学.m4a,ldfQ-B5nHD8,西北大学,问答
对话,05 扣问我们的时代-索达吉堪布对话施耐德教授,对话施耐德教授-片头,,,0.0,0.0,对话/05 扣问我们的时代-索达吉堪布对话施耐德教授/对话施耐德教授-片头.m4a,jvlwNxRfTkE,索达吉堪布对话施耐德教授,片头
对话,05 扣问我们的时代-索达吉堪布对话施耐德教授,对话施耐德教授1-宗教复兴，因为我们富有却空虚,,,0.0,0.0,对话/05 扣问我们的时代-索达吉堪布对话施耐德教授/对话施耐德教授1-宗教复兴，因为我们富有却空虚.m4a,GsF0KcYC0PY,索达吉堪布对话施耐德教授,1、宗教复兴，因为我们富有却空虚
